agency	date	cost
Virginia Commonwealth University	2014-04-24	1007887.102
Virginia Commonwealth University	2006-09-20	254580.35
Virginia Commonwealth University	2008-03-19	314486.574
Virginia Commonwealth University	2009-03-26	1097056.52
Virginia Commonwealth University	2012-03-25	88368.2
Virginia Commonwealth University	2011-03-14	425584.9134
Virginia Commonwealth University	2014-07-29	366666.97
Virginia Commonwealth University	2005-03-12	14.7
Virginia Commonwealth University	2008-09-30	943254.56
Virginia Commonwealth University	2011-06-22	496811.404
Virginia Commonwealth University	2007-06-04	2377326.839
Virginia Commonwealth University	2010-06-06	15104.35066
Virginia Commonwealth University	2008-06-10	1838874.53
Virginia Commonwealth University	2008-04-19	249.99
Virginia Commonwealth University	2010-01-04	109646.85
Virginia Commonwealth University	2007-09-18	286892.885
Virginia Commonwealth University	2011-02-04	168394.9
Virginia Commonwealth University	2014-05-11	97674.8496
Virginia Commonwealth University	2007-05-16	2054199.288
Virginia Commonwealth University	2010-11-15	294908.5
Virginia Commonwealth University	2013-02-12	941546.665
Virginia Commonwealth University	2008-11-14	2666018.21
Virginia Commonwealth University	2009-03-27	743034.949
Virginia Commonwealth University	2009-03-09	3603606.357
Virginia Commonwealth University	2011-03-11	615827.123
Virginia Commonwealth University	2006-09-19	412255.07
Virginia Commonwealth University	2011-11-13	264.99
Virginia Commonwealth University	2014-07-16	3316777.16
Virginia Commonwealth University	2007-05-22	466552.21
Virginia Commonwealth University	2010-11-05	261776.3
Virginia Commonwealth University	2004-10-29	609.56
Virginia Commonwealth University	2015-02-23	289847.46
Virginia Commonwealth University	2015-03-15	37100.505
Virginia Commonwealth University	2010-02-08	692054.2908
Virginia Commonwealth University	2013-03-05	211088.57
Virginia Commonwealth University	2015-01-03	16100.18
Virginia Commonwealth University	2009-02-14	468.86
Virginia Commonwealth University	2009-02-24	1153930.265
Virginia Commonwealth University	2010-10-21	303267.957
Virginia Commonwealth University	2015-04-03	947263.365
Virginia Commonwealth University	2007-10-27	1000
Virginia Commonwealth University	2014-05-01	400284.7
Virginia Commonwealth University	2007-02-05	783946.87
Virginia Commonwealth University	2012-03-02	339270.08
Virginia Commonwealth University	2007-07-10	257874.705
Virginia Commonwealth University	2009-11-21	4512.73
Virginia Commonwealth University	2010-02-22	1197584.11
Virginia Commonwealth University	2012-10-16	860911.89
Virginia Commonwealth University	2007-04-05	652331.635
Virginia Commonwealth University	2009-09-11	108569.74
Virginia Commonwealth University	2014-04-20	16290.283
Virginia Commonwealth University	2009-04-07	797096.57
Virginia Commonwealth University	2013-04-05	1259226.69
Virginia Commonwealth University	2009-02-15	6217.221
Virginia Commonwealth University	2004-12-08	147.37
Virginia Commonwealth University	2011-10-06	204840.024
Virginia Commonwealth University	2011-07-11	302717.17
Virginia Commonwealth University	2009-04-04	267.4
Virginia Commonwealth University	2006-10-20	593665.22
Virginia Commonwealth University	2012-10-30	418940.824
Virginia Commonwealth University	2012-11-24	6500
Virginia Commonwealth University	2004-08-19	69
Virginia Commonwealth University	2013-12-01	862.9
Virginia Commonwealth University	2013-04-28	37752.77
Virginia Commonwealth University	2013-04-06	57
Virginia Commonwealth University	2010-07-28	561766.439
Virginia Commonwealth University	2005-09-13	899807.779
Virginia Commonwealth University	2006-02-10	180043.935
Virginia Commonwealth University	2004-07-07	91.5
